Name,Gender,Race,Date,Distance,Swim,T1,Bike,T2,Run,Total,Swim Distance,Bike Distance,Run Distance,Notes
Paige Dolan,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:24:15,0:01:07,1:13:27,0:01:52,0:43:57,2:24:37,,,,
Nina Florek,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:27:29,0:00:59,1:24:22,0:01:48,0:54:47,2:48:24,,,,
Kelsey McDonald,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:26:31,0:00:59,1:01:47,0:01:51,0:48:43,2:30:49,,,,
Charlie Osborn,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:28:21,0:01:20,1:12:00,0:01:31,0:49:32,2:32:42,,,,
Holly Dufek,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:28:20,0:01:14,1:20:43,0:01:27,0:46:16,2:37:58,,,,
Eleanor Yarkin,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:27:27,0:01:09,1:17:39,0:01:33,0:45:10,2:32:56,,,,
Bella Demeo,Female,Collegiate Club Nationals,4/14/2024,Olympic,0:36:44,0:01:49,1:34:16,0:03:00,0:56:50,3:12:37,,,,
Oliver Pilon,Male,70.3 Morro Bay,5/19/2024,70.3,0:35:06,0:02:44,2:19:54,0:01:28,1:31:12,4:30:23,1931.213,90.12326,21.08241,
Colter Purcell,Male,San Diego International Triathlon,6/23/2024,Sprint,0:07:49,0:01:13,0:30:42,0:01:05,0:20:07,1:00:55,,,,
Ian Schaub,Male,San Diego International Triathlon,6/23/2024,Sprint,0:10:59,0:02:07,0:39:27,0:01:36,0:23:53,1:18:01,,,,
Ty Hejny,Male,San Diego International Triathlon,6/23/2024,Sprint,0:08:37,0:02:02,0:38:59,0:01:57,0:23:47,1:15:20,,,,
Scott Machado,Male,Mountain Man Tri,8/11/2024,Olympic,0:25:25,0:01:17,1:14:22,0:01:01,0:52:30,2:34:36,1500,40,10,
